WARNING 2019-03-04 11:52:10,269 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Paul_Gauguin
INFO 2019-03-04 11:52:10,745 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/At_Eternity%27s_Gate_(film)
INFO 2019-03-04 11:52:10,745 - Movie count = 26
WARNING 2019-03-04 11:52:11,168 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Peter_Malkin
WARNING 2019-03-04 11:52:12,859 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Special:BookSources/1845966651
WARNING 2019-03-04 11:52:13,399 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/International_Standard_Book_Number
WARNING 2019-03-04 11:52:13,805 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Frank_Sanello
WARNING 2019-03-04 11:52:15,542 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Special:BookSources/0312285655
WARNING 2019-03-04 11:52:15,542 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/International_Standard_Book_Number
WARNING 2019-03-04 11:52:17,309 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Special:BookSources/1852270233
WARNING 2019-03-04 11:52:17,310 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/International_Standard_Book_Number
WARNING 2019-03-04 11:52:18,909 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Special:BookSources/1932270094
WARNING 2019-03-04 11:52:18,909 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/International_Standard_Book_Number
WARNING 2019-03-04 11:52:19,288 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Mark_Bego
WARNING 2019-03-04 11:52:19,623 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Jungleland_(film)
WARNING 2019-03-04 11:52:19,958 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Against_All_Enemies_(film)
WARNING 2019-03-04 11:52:20,427 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Cameron_Todd_Willingham
WARNING 2019-03-04 11:52:20,766 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Trial_by_Fire_(2018_film)
INFO 2019-03-04 11:52:21,215 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Tulip_Fever
INFO 2019-03-04 11:52:21,215 - Movie count = 27
WARNING 2019-03-04 11:52:21,728 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Jan_Kubi%C5%A1
WARNING 2019-03-04 11:52:21,728 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Heart_(film)
WARNING 2019-03-04 11:52:21,728 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Money_Monster
WARNING 2019-03-04 11:52:22,207 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Louis_Zamperini
INFO 2019-03-04 11:52:22,675 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Unbroken_(film)
INFO 2019-03-04 11:52:22,675 - Movie count = 28
INFO 2019-03-04 11:52:23,111 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Colette_(2018_film)
INFO 2019-03-04 11:52:23,111 - Movie count = 29
